t_s,T20_C,T30_C
1.717000000000000000e+03,5.047655693072298000e+00,7.396730425679187704e+00
1.718000000000000000e+03,5.043755249791976425e+00,7.390965805579501335e+00
1.719000000000000000e+03,5.039857876334190578e+00,7.385205797393411764e+00
1.720000000000000000e+03,5.035963570197831807e+00,7.379450397249683213e+00
1.721000000000000000e+03,5.032072328883955947e+00,7.373699601280573113e+00
1.722000000000000000e+03,5.028184149895757571e+00,7.367953405621894269e+00
1.723000000000000000e+03,5.024299030738607286e+00,7.362211806412946480e+00
1.724000000000000000e+03,5.020416968920058842e+00,7.356474799796533404e+00
1.725000000000000000e+03,5.016537961949796731e+00,7.350742381919001645e+00
1.726000000000000000e+03,5.012662007339658388e+00,7.345014548930172360e+00
1.727000000000000000e+03,5.008789102603652843e+00,7.339291296983381230e+00
1.728000000000000000e+03,5.004919245257939409e+00,7.333572622235434046e+00
1.729000000000000000e+03,5.001052432820813465e+00,7.327858520846697310e+00
1.730000000000000000e+03,4.997188662812720672e+00,7.322148988980931250e+00
1.731000000000000000e+03,4.993327932756270293e+00,7.316444022805462133e+00
1.732000000000000000e+03,4.989470240176200555e+00,7.310743618491048146e+00
1.733000000000000000e+03,4.985615582599380424e+00,7.305047772211975321e+00
1.734000000000000000e+03,4.981763957554841582e+00,7.299356480145962500e+00
1.735000000000000000e+03,4.977915362573737568e+00,7.293669738474220843e+00
1.736000000000000000e+03,4.974069795189369536e+00,7.287987543381430733e+00
1.737000000000000000e+03,4.970227252937145401e+00,7.282309891055732898e+00
1.738000000000000000e+03,4.966387733354659773e+00,7.276636777688707980e+00
1.739000000000000000e+03,4.962551233981551846e+00,7.270968199475435156e+00
1.740000000000000000e+03,4.958717752359683928e+00,7.265304152614415756e+00
1.741000000000000000e+03,4.954887286032959359e+00,7.259644633307633654e+00
1.742000000000000000e+03,4.951059832547464623e+00,7.253989637760486886e+00
1.743000000000000000e+03,4.947235389451373422e+00,7.248339162181835604e+00
1.744000000000000000e+03,4.943413954294994639e+00,7.242693202783967443e+00
1.745000000000000000e+03,4.939595524630741252e+00,7.237051755782630380e+00
1.746000000000000000e+03,4.935780098013155204e+00,7.231414817396990991e+00
1.747000000000000000e+03,4.931967671998886971e+00,7.225782383849641555e+00
1.748000000000000000e+03,4.928158244146692013e+00,7.220154451366591175e+00
