source,system,domain,protocol,protocol_value,x_name,x,obs_name,obs
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.27,distance_to_equilibrium_D,1.00813493728637
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.28,distance_to_equilibrium_D,1.00297622680664
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.29,distance_to_equilibrium_D,0.99543650150299
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.3,distance_to_equilibrium_D,0.992261910438537
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.31,distance_to_equilibrium_D,0.989087319374084
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.32,distance_to_equilibrium_D,0.987896847724914
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.33,distance_to_equilibrium_D,0.989880967140197
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.34,distance_to_equilibrium_D,0.988293671607971
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.35,distance_to_equilibrium_D,0.986309552192687
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.36,distance_to_equilibrium_D,0.982738065719604
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.37,distance_to_equilibrium_D,0.975198411941528
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.38,distance_to_equilibrium_D,0.970436525344848
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.39,distance_to_equilibrium_D,0.970039701461792
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.4,distance_to_equilibrium_D,0.969642877578735
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.41,distance_to_equilibrium_D,0.969642877578735
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.42,distance_to_equilibrium_D,0.960515856742858
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.43,distance_to_equilibrium_D,0.958134913444519
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.44,distance_to_equilibrium_D,0.956150794029235
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.45,distance_to_equilibrium_D,0.943849253654479
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.46,distance_to_equilibrium_D,0.942261886596679
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.47,distance_to_equilibrium_D,0.941468238830566
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.48,distance_to_equilibrium_D,0.935912704467773
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.49,distance_to_equilibrium_D,0.933531761169433
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.5,distance_to_equilibrium_D,0.93273811340332
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.51,distance_to_equilibrium_D,0.928373050689697
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.52,distance_to_equilibrium_D,0.924404740333557
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.53,distance_to_equilibrium_D,0.922420620918273
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.54,distance_to_equilibrium_D,0.9240079164505
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.55,distance_to_equilibrium_D,0.916071438789367
Kumar2022_PNAS,colloid_optical_trap,classical,T0_initial_temp,1e-05,time_ms,1.56,distance_to_equilibrium_D,0.914484143257141
