t,D_L1_h,D_L1_w,D_L1_c,D_KL_h,D_KL_w,D_KL_c
0.455,0.6258250167,0.5651654217,0.006767660484,0.2548057625,0.2113536323,0.0001113581766
0.4575,0.6256794845,0.5651631853,0.007333696453,0.2547646727,0.2113323315,0.0001043828549
0.46,0.6256765886,0.5650650247,0.007744885636,0.2547257237,0.211297854,0.0001096950267
0.4625,0.6256564001,0.5650629362,0.007993145695,0.2547473157,0.2112704191,0.0001061351522
0.465,0.6255679546,0.5650370374,0.007539787775,0.2546810048,0.2112238793,9.189282517e-05
0.4675,0.6255418003,0.5649633818,0.009058826569,0.2546498681,0.2111986361,0.0001150973979
0.47,0.6254782675,0.5649758257,0.009561778731,0.2546084725,0.2112096397,0.0001498724207
0.4725,0.6254262545,0.5648762726,0.01129332035,0.2545755789,0.2111610744,0.0001643187918
0.475,0.6253196307,0.5648391853,0.006554231009,0.2545400962,0.2110992499,0.000106342534
0.4775,0.6252536508,0.5648158948,0.01060250587,0.2544911232,0.2111042728,0.0001539659637
0.48,0.6252234845,0.5647789505,0.009152517338,0.2544410075,0.2110622455,0.0001239279458
0.4825,0.6251288675,0.5647704137,0.008047285686,0.2544019218,0.2110589726,0.0001085204875
0.485,0.6250388679,0.5646921675,0.009557998496,0.2543440466,0.2110122934,0.0001273704753
0.4875,0.6250192482,0.5646533716,0.008124548293,0.2543266457,0.2109617554,0.0001248059192
0.49,0.625005034,0.5646287036,0.01047005656,0.2542890386,0.2109702424,0.0001364160843
0.4925,0.6250647655,0.5646190303,0.00900660328,0.2543250074,0.2109330803,9.304245564e-05
0.495,0.6250031239,0.5645802711,0.009406525805,0.2542295593,0.2109140182,0.0001126176613
0.4975,0.6250145766,0.5645630303,0.008344724957,0.2542199935,0.2108978724,0.0001188925201
0.5,0.6249390303,0.5645569668,0.008986599377,0.2541717254,0.2108742237,0.0001340009552
