t,T,a2
4.47,0.265782025,-0.02727371529
4.48,0.2652058609,-0.02726924839
4.49,0.2646315678,-0.02726483468
4.5,0.2640591376,-0.02726047346
4.51,0.2634885623,-0.02725616406
4.52,0.2629198339,-0.0272519058
4.53,0.2623529444,-0.02724769801
4.54,0.261787886,-0.02724354006
4.55,0.2612246506,-0.0272394313
4.56,0.2606632306,-0.02723537108
4.57,0.2601036181,-0.0272313588
4.58,0.2595458054,-0.02722739383
4.59,0.2589897848,-0.02722347556
4.6,0.2584355485,-0.02721960339
4.61,0.2578830891,-0.02721577674
4.62,0.2573323989,-0.02721199502
4.63,0.2567834703,-0.02720825766
4.64,0.2562362959,-0.02720456408
4.65,0.2556908682,-0.02720091374
4.66,0.2551471798,-0.02719730607
4.67,0.2546052233,-0.02719374054
4.68,0.2540649914,-0.02719021661
4.69,0.2535264767,-0.02718673375
4.7,0.252989672,-0.02718329144
4.71,0.25245457,-0.02717988917
4.72,0.2519211637,-0.02717652642
4.73,0.2513894457,-0.0271732027
4.74,0.250859409,-0.02716991751
4.75,0.2503310466,-0.02716667037
4.76,0.2498043514,-0.0271634608
4.77,0.2492793163,-0.02716028832
4.78,0.2487559344,-0.02715715247
4.79,0.2482341989,-0.02715405279
4.8,0.2477141027,-0.02715098881
4.81,0.2471956391,-0.0271479601
4.82,0.2466788012,-0.02714496621
4.83,0.2461635822,-0.02714200671
4.84,0.2456499754,-0.02713908116
4.85,0.2451379741,-0.02713618914
4.86,0.2446275715,-0.02713333024
4.87,0.2441187611,-0.02713050403
4.88,0.2436115362,-0.02712771011
4.89,0.2431058903,-0.02712494809
4.9,0.2426018167,-0.02712221756
4.91,0.2420993091,-0.02711951812
4.92,0.2415983608,-0.02711684941
4.93,0.2410989656,-0.02711421103
4.94,0.2406011169,-0.02711160261
4.95,0.2401048084,-0.02710902377
4.96,0.2396100337,-0.02710647417
4.97,0.2391167866,-0.02710395342
4.98,0.2386250607,-0.02710146118
4.99,0.2381348499,-0.02709899709
5,0.2376461478,-0.02709656082
5.01,0.2371589484,-0.02709415201
5.02,0.2366732454,-0.02709177033
5.03,0.2361890328,-0.02708941544
5.04,0.2357063044,-0.02708708703
5.05,0.2352250542,-0.02708478476
5.06,0.2347452761,-0.02708250831
5.07,0.2342669643,-0.02708025737
5.08,0.2337901126,-0.02707803163
5.09,0.2333147153,-0.02707583078
5.1,0.2328407663,-0.02707365452
5.11,0.2323682598,-0.02707150254
5.12,0.2318971899,-0.02706937456
5.13,0.2314275509,-0.02706727027
5.14,0.2309593369,-0.0270651894
5.15,0.2304925422,-0.02706313166
5.16,0.230027161,-0.02706109677
5.17,0.2295631877,-0.02705908445
5.18,0.2291006166,-0.02705709443
5.19,0.2286394421,-0.02705512644
5.2,0.2281796585,-0.02705318022
5.21,0.2277212602,-0.0270512555
5.22,0.2272642417,-0.02704935202
5.23,0.2268085975,-0.02704746954
5.24,0.226354322,-0.02704560779
5.25,0.2259014098,-0.02704376652
5.26,0.2254498555,-0.0270419455
5.27,0.2249996535,-0.02704014448
5.28,0.2245507986,-0.02703836322
5.29,0.2241032853,-0.02703660148
5.3,0.2236571084,-0.02703485904
5.31,0.2232122624,-0.02703313565
5.32,0.2227687422,-0.0270314311
5.33,0.2223265424,-0.02702974516
5.34,0.2218856578,-0.0270280776
5.35,0.2214460832,-0.02702642822
5.36,0.2210078135,-0.02702479679
5.37,0.2205708434,-0.0270231831
5.38,0.2201351679,-0.02702158694
5.39,0.2197007817,-0.0270200081
5.4,0.21926768,-0.02701844638
5.41,0.2188358575,-0.02701690158
5.42,0.2184053093,-0.0270153735
5.43,0.2179760303,-0.02701386193
5.44,0.2175480156,-0.02701236669
5.45,0.2171212602,-0.02701088759
5.46,0.2166957592,-0.02700942442
5.47,0.2162715076,-0.02700797701
5.48,0.2158485006,-0.02700654518
5.49,0.2154267334,-0.02700512873
5.5,0.215006201,-0.02700372749
5.51,0.2145868987,-0.02700234128
5.52,0.2141688216,-0.02700096993
5.53,0.2137519651,-0.02699961325
5.54,0.2133363243,-0.02699827109
5.55,0.2129218946,-0.02699694327
5.56,0.2125086712,-0.02699562962
5.57,0.2120966495,-0.02699432999
5.58,0.2116858248,-0.02699304419
5.59,0.2112761924,-0.02699177209
5.6,0.2108677478,-0.02699051351
5.61,0.2104604865,-0.0269892683
5.62,0.2100544037,-0.02698803631
5.63,0.209649495,-0.02698681738
5.64,0.2092457559,-0.02698561136
5.65,0.2088431818,-0.02698441811
5.66,0.2084417683,-0.02698323747
