t,D_L1,D_KL,D_e
38.3,0.50928036,0.2202004216,0.2202004216
38.4,0.5092470768,0.220071122,0.220071122
38.5,0.5092142412,0.2199437838,0.2199437838
38.6,0.5091818471,0.2198183775,0.2198183775
38.7,0.5091498886,0.2196948743,0.2196948743
38.8,0.5091183598,0.2195732456,0.2195732456
38.9,0.509087255,0.2194534634,0.2194534634
39,0.5090565684,0.2193354999,0.2193354999
39.1,0.5090262945,0.2192193279,0.2192193279
39.2,0.5089964277,0.2191049205,0.2191049205
39.3,0.5089669625,0.2189922514,0.2189922514
39.4,0.5089378935,0.2188812944,0.2188812944
39.5,0.5089092154,0.2187720238,0.2187720238
39.6,0.5088809229,0.2186644144,0.2186644144
39.7,0.5088530108,0.2185584412,0.2185584412
39.8,0.5088254741,0.2184540796,0.2184540796
39.9,0.5087983077,0.2183513056,0.2183513056
40,0.5087715066,0.2182500952,0.2182500952
40.1,0.5087450659,0.218150425,0.218150425
40.2,0.5087189807,0.2180522719,0.2180522719
40.3,0.5086932462,0.217955613,0.217955613
40.4,0.5086678579,0.217860426,0.217860426
40.5,0.5086428109,0.2177666887,0.2177666887
40.6,0.5086181007,0.2176743794,0.2176743794
40.7,0.5085937228,0.2175834765,0.2175834765
40.8,0.5085696727,0.217493959,0.217493959
40.9,0.508545946,0.217405806,0.217405806
41,0.5085225383,0.2173189969,0.2173189969
41.1,0.5084994454,0.2172335117,0.2172335117
41.2,0.5084766631,0.2171493304,0.2171493304
41.3,0.5084541871,0.2170664334,0.2170664334
41.4,0.5084320133,0.2169848013,0.2169848013
41.5,0.5084101377,0.2169044151,0.2169044151
41.6,0.5083885562,0.2168252561,0.2168252561
41.7,0.5083672649,0.2167473058,0.2167473058
41.8,0.50834626,0.216670546,0.216670546
41.9,0.5083255375,0.2165949587,0.2165949587
42,0.5083050936,0.2165205264,0.2165205264
42.1,0.5082849247,0.2164472316,0.2164472316
42.2,0.5082650269,0.2163750572,0.2163750572
42.3,0.5082453967,0.2163039863,0.2163039863
42.4,0.5082260305,0.2162340022,0.2162340022
42.5,0.5082069247,0.2161650886,0.2161650886
42.6,0.5081880758,0.2160972294,0.2160972294
42.7,0.5081694804,0.2160304087,0.2160304087
42.8,0.508151135,0.2159646107,0.2159646107
42.9,0.5081330363,0.2158998201,0.2158998201
43,0.508115181,0.2158360216,0.2158360216
43.1,0.5080975658,0.2157732004,0.2157732004
43.2,0.5080801874,0.2157113416,0.2157113416
43.3,0.5080630428,0.2156504307,0.2156504307
43.4,0.5080461286,0.2155904534,0.2155904534
43.5,0.5080294419,0.2155313957,0.2155313957
43.6,0.5080129796,0.2154732436,0.2154732436
43.7,0.5079967387,0.2154159834,0.2154159834
43.8,0.5079807161,0.2153596017,0.2153596017
43.9,0.507964909,0.2153040851,0.2153040851
44,0.5079493145,0.2152494207,0.2152494207
44.1,0.5079339297,0.2151955956,0.2151955956
44.2,0.5079187517,0.215142597,0.215142597
44.3,0.5079037778,0.2150904124,0.2150904124
44.4,0.5078890053,0.2150390296,0.2150390296
44.5,0.5078744314,0.2149884364,0.2149884364
44.6,0.5078600535,0.2149386209,0.2149386209
44.7,0.507845869,0.2148895712,0.2148895712
44.8,0.5078318751,0.2148412759,0.2148412759
44.9,0.5078180695,0.2147937234,0.2147937234
45,0.5078044495,0.2147469026,0.2147469026
45.1,0.5077910126,0.2147008024,0.2147008024
45.2,0.5077777564,0.2146554117,0.2146554117
45.3,0.5077646785,0.21461072,0.21461072
45.4,0.5077517764,0.2145667166,0.2145667166
45.5,0.5077390478,0.214523391,0.214523391
45.6,0.5077264904,0.214480733,0.214480733
45.7,0.5077141018,0.2144387325,0.2144387325
45.8,0.5077018798,0.2143973795,0.2143973795
45.9,0.5076898222,0.2143566642,0.2143566642
46,0.5076779267,0.2143165768,0.2143165768
46.1,0.5076661912,0.214277108,0.214277108
46.2,0.5076546134,0.2142382482,0.2142382482
46.3,0.5076431914,0.2141999883,0.2141999883
46.4,0.5076319229,0.2141623191,0.2141623191
46.5,0.507620806,0.2141252316,0.2141252316
46.6,0.5076098386,0.2140887171,0.2140887171
46.7,0.5075990186,0.2140527668,0.2140527668
46.8,0.5075883441,0.2140173722,0.2140173722
46.9,0.5075778132,0.2139825248,0.2139825248
47,0.5075674239,0.2139482162,0.2139482162
47.1,0.5075571742,0.2139144384,0.2139144384
47.2,0.5075470624,0.2138811831,0.2138811831
47.3,0.5075370866,0.2138484426,0.2138484426
47.4,0.5075272449,0.2138162088,0.2138162088
