t,Ti_20C,Ti_40C,Ti_60C,Ti_80C
1.150000000000000000e+03,9.828322390429015121e-01,1.965664478085803024e+00,2.948496717128711087e+00,3.931328956171606048e+00
1.150500000000000000e+03,9.814660474167985482e-01,1.962932094833597096e+00,2.944398142250406192e+00,3.925864189667194193e+00
1.151000000000000000e+03,9.801017548732618989e-01,1.960203509746523798e+00,2.940305264619791359e+00,3.920407019493047596e+00
1.151500000000000000e+03,9.787393587724383393e-01,1.957478717544876679e+00,2.936218076317320680e+00,3.914957435089753357e+00
1.152000000000000000e+03,9.773788564781874522e-01,1.954757712956374904e+00,2.932136569434568241e+00,3.909515425912749809e+00
1.152500000000000000e+03,9.760202453579923665e-01,1.952040490715984733e+00,2.928060736073981207e+00,3.904080981431969466e+00
1.153000000000000000e+03,9.746635227830365844e-01,1.949327045566073169e+00,2.923990568349116970e+00,3.898654091132146338e+00
1.153500000000000000e+03,9.733086861281167179e-01,1.946617372256233436e+00,2.919926058384354928e+00,3.893234744512466872e+00
1.154000000000000000e+03,9.719557327717168738e-01,1.943911465543433748e+00,2.915867198315153619e+00,3.887822931086867495e+00
1.154500000000000000e+03,9.706046600959280513e-01,1.941209320191856103e+00,2.911813980287788262e+00,3.882418640383712205e+00
1.155000000000000000e+03,9.692554654865189745e-01,1.938510930973037949e+00,2.907766396459560809e+00,3.877021861946075898e+00
1.155500000000000000e+03,9.679081463328549351e-01,1.935816292665709870e+00,2.903724438998571689e+00,3.871632585331419740e+00
1.156000000000000000e+03,9.665627000279656267e-01,1.933125400055931253e+00,2.899688100083902764e+00,3.866250800111862507e+00
1.156500000000000000e+03,9.652191239684674295e-01,1.930438247936934859e+00,2.895657371905411281e+00,3.860876495873869718e+00
1.157000000000000000e+03,9.638774155546352418e-01,1.927754831109270484e+00,2.891632246663911499e+00,3.855509662218540967e+00
1.157500000000000000e+03,9.625375721903182136e-01,1.925075144380636427e+00,2.887612716570957971e+00,3.850150288761272854e+00
1.158000000000000000e+03,9.611995912830110234e-01,1.922399182566022047e+00,2.883598773849036512e+00,3.844798365132044093e+00
1.158500000000000000e+03,9.598634702437756072e-01,1.919726940487551214e+00,2.879590410731333705e+00,3.839453880975102429e+00
1.159000000000000000e+03,9.585292064873141005e-01,1.917058412974628201e+00,2.875587619461941191e+00,3.834116825949256402e+00
1.159500000000000000e+03,9.571967974318762451e-01,1.914393594863752490e+00,2.871590392295628735e+00,3.828787189727504980e+00
1.160000000000000000e+03,9.558662404993456541e-01,1.911732480998691308e+00,2.867598721498033409e+00,3.823464961997382616e+00
1.160500000000000000e+03,9.545375331151462195e-01,1.909075066230292439e+00,2.863612599345444210e+00,3.818150132460584878e+00
1.161000000000000000e+03,9.532106727083271558e-01,1.906421345416654312e+00,2.859632018124977471e+00,3.812842690833308623e+00
1.161500000000000000e+03,9.518856567114627465e-01,1.903771313422925493e+00,2.855656970134388573e+00,3.807542626845850986e+00
1.162000000000000000e+03,9.505624825607424944e-01,1.901124965121484989e+00,2.851687447682226484e+00,3.802249930242969977e+00
1.162500000000000000e+03,9.492411476958765304e-01,1.898482295391753061e+00,2.847723443087633033e+00,3.796964590783506122e+00
1.163000000000000000e+03,9.479216495601763270e-01,1.895843299120352654e+00,2.843764948680530757e+00,3.791686598240705308e+00
1.163500000000000000e+03,9.466039856004644371e-01,1.893207971200928874e+00,2.839811956801392423e+00,3.786415942401857748e+00
1.164000000000000000e+03,9.452881532671530973e-01,1.890576306534306195e+00,2.835864459801458626e+00,3.781152613068612389e+00
1.164500000000000000e+03,9.439741500141619612e-01,1.887948300028323922e+00,2.831922450042485107e+00,3.775896600056647845e+00
1.165000000000000000e+03,9.426619732989856004e-01,1.885323946597971201e+00,2.827985919896952804e+00,3.770647893195942402e+00
1.165500000000000000e+03,9.413516205826160110e-01,1.882703241165232022e+00,2.824054861747846701e+00,3.765406482330464044e+00
1.166000000000000000e+03,9.400430893296113366e-01,1.880086178659222673e+00,2.820129267988830790e+00,3.760172357318445346e+00
1.166500000000000000e+03,9.387363770080179304e-01,1.877472754016035861e+00,2.816209131024052681e+00,3.754945508032071722e+00
1.167000000000000000e+03,9.374314810894377459e-01,1.874862962178875492e+00,2.812294443268311461e+00,3.749725924357750984e+00
